titulo,precio,provincia,lugar_raw,num_dormitorios,num_banos,area,num_garages,lugar
Hermoso departamento embajada Americana (colegio SEK) edificio inteligente $500,500,Pichincha,"Pichincha, Av. Avigiras, Av. Eloy Alfaro E12-170 y, Quito 170124, Ecuador",3.0,2.0,100.0,1.0,Quito
Hermoso departamento Edificio inteligente sector Ponceano Alto,400,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",2.0,2.0,100.0,1.0,Quito
Hermosa casa 3 platas sector embajada Américana,480,Pichincha,"Pichincha, Embajada americana, Quito, Ecuador",3.0,2.0,100.0,2.0,Quito
Alquiler de Departamento 2do Piso Alto en Garzota Norte de Guayaquil,400,Guayas,"Guayas, Garzota II, Guayaquil, Ecuador",2.0,1.0,68.0,1.0,Guayaquil
AMPLIA HERMOSA CASA ARRIENDO MITAD DEL MUNDO QUITO,350,Pichincha,"Pichincha, Padre Rumi E1-10, Quito, Ecuador",5.0,4.0,170.0,1.0,Quito
"ARIENDO DEPARTAMENTO DUPLEX CONJUNTO SOL DEL SUR, QUITUMBE",220,Pichincha,"Pichincha, Av. Cóndor Ñan, Quito, Ecuador",3.0,2.0,100.0,1.0,Quito
"Arriendo Consultorio Medico, La Mariscal",280,Pichincha,"Pichincha, La Mariscal, Quito, Ecuador",3.0,1.0,43.0,1.0,Quito
"Arriendo Departamento 2 Dormitorios, Casablanca",140,Esmeraldas,"Esmeraldas, Casablanca, same",2.0,2.0,80.0,1.0,same
Suite en renta sector Granda Centeno,450,Pichincha,"Pichincha, Granda Centeno, Quito, Ecuador",1.0,1.0,68.0,1.0,Quito
"Arriendo Departamento 4 Dormitorios + Estudio, Gonzalez Suarez",1000,Pichincha,"Pichincha, Gonzalez Suarez, Quito, Ecuador",4.0,6.0,285.0,2.0,Quito
Hermoso departamento con Terraza propia de arriendo sector Ponceano Alto,400,Pichincha,"Pichincha, Ponceano, Ecuador",3.0,2.0,140.0,1.0,Ponceano
Linda Casa de oportunidad $380 sector Ponceano alto,380,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",3.0,2.0,100.0,1.0,Quito
"Hermosa Casa de Arriendo en Mirasierra, Valle de Los Chillos",500,Pichincha,"Pichincha, Mirasierra, Quito, Ecuador",3.0,3.0,140.0,2.0,Quito
Hermoso departamento de arriendo sector Ponceano Alto  2 dormitorios,380,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",2.0,2.0,80.0,1.0,Quito
Hermoso departamento de arriendo el bosque 2 dormitorios,500,Pichincha,"Pichincha, El Bosque, Quito, Ecuador",2.0,2.0,100.0,1.0,Quito
"Se arrienda departamento en Cumbaya, sector la Primavera.",1200,Pichincha,"Pichincha, Cumbayá, Quito, Ecuador",2.0,3.0,130.0,2.0,Quito
AMPLIA Y HERMOSA CASA DE RENTA EN SAN RAFAEL,1400,Pichincha,"Pichincha, San Rafael, Ecuador",4.0,2.0,473.0,1.0,San Rafael
"Arriendo Bodega, sector Ana Maria Bajo, Occidental",590,Pichincha,"Pichincha, Ana Maria Bajo, Quito, Ecuador",3.0,1.0,175.0,1.0,Quito
